Manufacturer,Name,Codename,CPU Total Cores,CPU Total Threads,CPU Base Frequency (in GHz),CPU Max Frequency (in GHz),Socket,Process (in nm),CPU Cache L3 (in MB),CPU TDP L1 (in Watts),Released
Intel,Xeon Gold 6330H,Cooper Lake-SP,24,48,2,"3,7",Socket 4189,14 nm,33,150,"Apr 6th, 2021"
Intel,Xeon Gold 6334,Ice Lake-SP,8,16,"3,6","3,7",Socket 4189,10 nm,18,165,"Apr 6th, 2021"
Intel,Xeon Gold 6336Y,Ice Lake-SP,24,48,"2,4","3,6",Socket 4189,10 nm,36,185,"Apr 6th, 2021"
Intel,Xeon Gold 6338N,Ice Lake-SP,32,64,"2,2","3,5",Socket 4189,10 nm,48,185,"Apr 6th, 2021"
Intel,Xeon Gold 6338T,Ice Lake-SP,24,48,"2,1","3,4",Socket 4189,10 nm,36,165,"Apr 6th, 2021"
Intel,Xeon Gold 6342,Ice Lake-SP,24,48,"2,8","3,5",Socket 4189,10 nm,36,230,"Apr 6th, 2021"
Intel,Xeon Gold 6346,Ice Lake-SP,16,32,"3,1","3,6",Socket 4189,10 nm,36,205,"Apr 6th, 2021"
Intel,Xeon Gold 6348,Ice Lake-SP,28,56,"2,6","3,5",Socket 4189,10 nm,42,235,"Apr 6th, 2021"
Intel,Xeon Gold 6348H,Cooper Lake-SP,24,48,"2,3","4,2",Socket 4189,14 nm,33,165,"Apr 6th, 2021"
Intel,Xeon Gold 6354,Ice Lake-SP,18,36,3,"3,6",Socket 4189,10 nm,39,205,"Apr 6th, 2021"
Intel,Xeon Platinum 8351N,Ice Lake-SP,36,72,"2,4","3,5",Socket 4189,10 nm,54,225,"Apr 6th, 2021"
Intel,Xeon Platinum 8352M,Ice Lake-SP,32,64,"2,3","3,5",Socket 4189,10 nm,48,185,"Apr 6th, 2021"
Intel,Xeon Platinum 8352S,Ice Lake-SP,32,64,"2,2","3,4",Socket 4189,10 nm,48,205,"Apr 6th, 2021"
Intel,Xeon Platinum 8352V,Ice Lake-SP,36,72,"2,5","3,5",Socket 4189,10 nm,54,195,"Apr 6th, 2021"
Intel,Xeon Platinum 8353H,Cooper Lake-SP,18,36,"2,5","3,8",Socket 4189,14 nm,"24,75",150,"Apr 6th, 2021"
Intel,Xeon Platinum 8354H,Cooper Lake-SP,18,36,"3,1","4,3",Socket 4189,14 nm,"24,75",205,"Apr 6th, 2021"
Intel,Xeon Platinum 8356H,Cooper Lake-SP,8,16,"3,9","4,4",Socket 4189,14 nm,"35,75",190,"Apr 6th, 2021"
Intel,Xeon Platinum 8358,Ice Lake-SP,32,64,"2,6","3,4",Socket 4189,10 nm,48,250,"Apr 6th, 2021"
Intel,Xeon Platinum 8358P,Ice Lake-SP,32,64,"2,6","3,4",Socket 4189,10 nm,48,240,"Apr 6th, 2021"
Intel,Xeon Platinum 8360H,Cooper Lake-SP,24,48,3,"4,2",Socket 4189,14 nm,33,225,"Apr 6th, 2021"
Intel,Xeon Platinum 8360HL,Cooper Lake-SP,24,48,3,"4,2",Socket 4189,14 nm,33,225,"Apr 6th, 2021"
Intel,Xeon Platinum 8360Y,Ice Lake-SP,36,72,"2,4","3,5",Socket 4189,10 nm,54,250,"Apr 6th, 2021"
Intel,Xeon Platinum 8362,Ice Lake-SP,32,64,"2,8","3,6",Socket 4189,10 nm,48,265,"Apr 6th, 2021"
Intel,Xeon Platinum 8368,Ice Lake-SP,38,76,"2,4","3,4",Socket 4189,10 nm,57,270,"Apr 6th, 2021"
Intel,Xeon Platinum 8368Q,Ice Lake-SP,38,76,"2,6","3,7",Socket 4189,10 nm,57,270,"Apr 6th, 2021"
Intel,Xeon Platinum 8376H,Cooper Lake-SP,28,56,"2,6","4,3",Socket 4189,14 nm,"38,5",205,"Apr 6th, 2021"
Intel,Xeon Platinum 8376HL,Cooper Lake-SP,28,56,"2,6","4,3",Socket 4189,14 nm,"38,5",205,"Apr 6th, 2021"
Intel,Xeon Platinum 8380,Ice Lake-SP,40,80,"2,3","3,4",Socket 4189,10 nm,60,270,"Apr 6th, 2021"
Intel,Xeon Platinum 8380H,Cooper Lake-SP,28,56,"2,9","4,3",Socket 4189,14 nm,"38,5",250,"Apr 6th, 2021"
Intel,Xeon Platinum 8380HL,Cooper Lake-SP,28,56,"2,9","4,3",Socket 4189,14 nm,"38,5",250,"Apr 6th, 2021"
Intel,Xeon Platinum 8375C,Ice Lake-SP,32,64,"2,9","3,5",Socket 4189,10 nm,54,300,Q2 2021
Intel,Xeon Silver 4309Y,Ice Lake-SP,8,16,"2,8","3,6",Socket 4189,10 nm,12,105,"Apr 6th, 2021"
Intel,Xeon Silver 4310,Ice Lake-SP,12,24,"2,1","3,3",Socket 4189,10 nm,18,120,"Apr 6th, 2021"
Intel,Xeon Silver 4310T,Ice Lake-SP,10,20,"2,3","3,4",Socket 4189,10 nm,15,105,"Apr 6th, 2021"
Intel,Xeon Silver 4314,Ice Lake-SP,16,32,"2,4","3,4",Socket 4189,10 nm,24,135,"Apr 6th, 2021"
Intel,Xeon Silver 4316,Ice Lake-SP,20,40,"2,3","3,4",Socket 4189,10 nm,30,150,"Apr 6th, 2021"
AMD,EPYC 72F3,Milan,8,16,"3,7","4,1",Socket SP3,7 nm,256,180,"Mar 15th, 2021"
AMD,EPYC 7313,Milan,16,32,3,"3,7",Socket SP3,7 nm,128,155,"Mar 15th, 2021"
AMD,EPYC 7313P,Milan,16,32,3,"3,7",Socket SP3,7 nm,128,155,"Mar 15th, 2021"
AMD,EPYC 7343,Milan,16,32,"3,2","3,9",Socket SP3,7 nm,128,190,"Mar 15th, 2021"
AMD,EPYC 73F3,Milan,16,32,"3,5",4,Socket SP3,7 nm,256,240,"Mar 15th, 2021"
AMD,EPYC 7413,Milan,24,48,"2,65","3,6",Socket SP3,7 nm,128,180,"Mar 15th, 2021"
AMD,EPYC 7443,Milan,24,48,"2,85",4,Socket SP3,7 nm,128,200,"Mar 15th, 2021"
AMD,EPYC 7443P,Milan,24,48,"2,85",4,Socket SP3,7 nm,128,200,"Mar 15th, 2021"
AMD,EPYC 7453,Milan,28,56,"2,75","3,45",Socket SP3,7 nm,64,225,"Mar 15th, 2021"
AMD,EPYC 74F3,Milan,24,48,"2,8",4,Socket SP3,7 nm,256,240,"Mar 15th, 2021"
AMD,EPYC 7513,Milan,32,64,"2,6","3,65",Socket SP3,7 nm,128,200,"Mar 15th, 2021"
AMD,EPYC 7543,Milan,32,64,"2,8","3,7",Socket SP3,7 nm,256,225,"Mar 15th, 2021"
AMD,EPYC 7543P,Milan,32,64,"2,8","3,7",Socket SP3,7 nm,256,225,"Mar 15th, 2021"
AMD,EPYC 75F3,Milan,32,64,"2,95",4,Socket SP3,7 nm,256,280,"Mar 15th, 2021"
AMD,EPYC 7643,Milan,48,96,"2,3","3,6",Socket SP3,7 nm,256,225,"Mar 15th, 2021"
AMD,EPYC 7663,Milan,56,112,2,"3,5",Socket SP3,7 nm,256,240,"Mar 15th, 2021"
AMD,EPYC 7713,Milan,64,128,2,3 675,Socket SP3,7 nm,256,225,"Mar 15th, 2021"
AMD,EPYC 7713P,Milan,64,128,2,3 675,Socket SP3,7 nm,256,225,"Mar 15th, 2021"
AMD,EPYC 7763,Milan,64,128,"2,45","3,5",Socket SP3,7 nm,256,280,"Mar 15th, 2021"
AMD,EPYC 7F32,Rome,8,16,"3,7","3,9",Socket SP3,7 nm,128,180,"Apr 14th, 2020"
AMD,EPYC 7F52,Rome,16,32,"3,5","3,9",Socket SP3,7 nm,256,155,"Apr 14th, 2020"
AMD,EPYC 7F72,Rome,24,48,"3,2","3,7",Socket SP3,7 nm,192,240,"Apr 14th, 2020"
AMD,EPYC 7232P,Rome,8,16,"3,1","3,2",Socket SP3,7 nm,32,120,"Aug 7th, 2019"
AMD,EPYC 7252,Rome,8,16,"2,8","3,2",Socket SP3,7 nm,64,120,"Aug 7th, 2019"
AMD,EPYC 7262,Rome,8,16,"3,1","3,3",Socket SP3,7 nm,128,155,"Aug 7th, 2019"
AMD,EPYC 7272,Rome,12,24,"2,6","3,2",Socket SP3,7 nm,64,120,"Aug 7th, 2019"
AMD,EPYC 7282,Rome,16,32,"2,8","3,2",Socket SP3,7 nm,64,120,"Aug 7th, 2019"
AMD,EPYC 7302,Rome,16,32,3,"3,3",Socket SP3,7 nm,128,155,"Aug 7th, 2019"
AMD,EPYC 7302P,Rome,16,32,3,"3,3",Socket SP3,7 nm,128,155,"Aug 7th, 2019"
AMD,EPYC 7352,Rome,24,48,"2,4","3,3",Socket SP3,7 nm,128,155,"Aug 7th, 2019"
AMD,EPYC 7402,Rome,24,48,"2,8","3,35",Socket SP3,7 nm,128,180,"Aug 7th, 2019"
AMD,EPYC 7402P,Rome,24,48,"2,8","3,35",Socket SP3,7 nm,128,180,"Aug 7th, 2019"
AMD,EPYC 7452,Rome,32,64,"2,2","3,35",Socket SP3,7 nm,128,155,"Aug 7th, 2019"
AMD,EPYC 7502,Rome,32,64,"2,5","3,35",Socket SP3,7 nm,128,180,"Aug 7th, 2019"
AMD,EPYC 7502P,Rome,32,64,"2,5","3,35",Socket SP3,7 nm,128,180,"Aug 7th, 2019"
AMD,EPYC 7542,Rome,32,64,"2,9","3,4",Socket SP3,7 nm,128,225,"Aug 7th, 2019"
AMD,EPYC 7552,Rome,48,96,"2,2","3,35",Socket SP3,7 nm,192,200,"Aug 7th, 2019"
AMD,EPYC 7642,Rome,48,96,"2,4","3,4",Socket SP3,7 nm,256,225,"Aug 7th, 2019"
AMD,EPYC 7702,Rome,64,128,2,"3,35",Socket SP3,7 nm,256,200,"Aug 7th, 2019"
AMD,EPYC 7702P,Rome,64,128,2,"3,35",Socket SP3,7 nm,256,200,"Aug 7th, 2019"
AMD,EPYC 7742,Rome,64,128,"2,25","3,4",Socket SP3,7 nm,256,225,"Aug 7th, 2019"
AMD,EPYC 7H12,Rome,64,128,"2,6","3,3",Socket SP3,7 nm,256,280,"Sep 18th, 2019"
AMD,EPYC 7261,Naples,8,16,"2,5","2,9",Socket SP3,14 nm,32,170,"Jun 14th, 2018"
AMD,EPYC 7371,Naples,16,32,"3,1","3,8",Socket SP3,14 nm,64,170,"Nov 16th, 2018"
AMD,EPYC Embedded 3251,Zen,8,16,"2,5","3,1",BGA SP4r2,14 nm,16,50,"Feb 21st, 2018"
AMD,EPYC 7251,Naples,8,16,"2,1","2,9",Socket SP3,14 nm,32,120,"Jun 29th, 2017"
AMD,EPYC 7281,Naples,16,32,"2,1","2,7",Socket SP3,14 nm,32,170,"Jun 29th, 2017"
AMD,EPYC 7301,Naples,16,32,"2,2","2,7",Socket SP3,14 nm,64,170,"Jun 29th, 2017"
AMD,EPYC 7351,Naples,16,32,"2,4","2,9",Socket SP3,14 nm,64,170,"Jun 29th, 2017"
AMD,EPYC 7351P,Naples,16,32,"2,4","2,9",Socket SP3,14 nm,64,170,"Jun 29th, 2017"
AMD,EPYC 7401,Naples,24,48,2,3,Socket SP3,14 nm,64,170,"Jun 29th, 2017"
AMD,EPYC 7401P,Naples,24,48,2,3,Socket SP3,14 nm,64,170,"Jun 29th, 2017"
AMD,EPYC 7451,Naples,24,48,"2,3","3,2",Socket SP3,14 nm,64,180,"Jun 29th, 2017"
AMD,EPYC 7501,Naples,32,64,2,3,Socket SP3,14 nm,64,170,"Jun 29th, 2017"
AMD,EPYC 7551,Naples,32,64,2,3,Socket SP3,14 nm,64,180,"Jun 29th, 2017"
AMD,EPYC 7551P,Naples,32,64,2,3,Socket SP3,14 nm,64,180,"Jun 29th, 2017"
AMD,EPYC 7601,Naples,32,64,"2,2","3,2",Socket SP3,14 nm,64,180,"Jun 29th, 2017"
Intel,Xeon Phi 7210,Knights Landing,64,256,"1,3","1,5",Socket 3647,14 nm,N/A,215,"Jun 20th, 2016"
Intel,Xeon Phi 7210F,Knights Landing,64,256,"1,3","1,5",Socket 3647,14 nm,N/A,230,"Jun 20th, 2016"
Intel,Xeon Phi 7230,Knights Landing,64,256,"1,3","1,5",Socket 3647,14 nm,N/A,215,"Jun 20th, 2016"
Intel,Xeon Phi 7230F,Knights Landing,64,256,"1,3","1,5",Socket 3647,14 nm,N/A,230,"Jun 20th, 2016"
Intel,Xeon Phi 7250,Knights Landing,68,272,"1,4","1,6",Socket 3647,14 nm,N/A,215,"Jun 20th, 2016"
Intel,Xeon Phi 7250F,Knights Landing,68,272,"1,4","1,6",Socket 3647,14 nm,N/A,230,"Jun 20th, 2016"
Intel,Xeon Phi 7290,Knights Landing,72,288,"1,5","1,7",Socket 3647,14 nm,N/A,245,"Jun 20th, 2016"
Intel,Xeon Phi 7290F,Knights Landing,72,288,"1,5","1,7",Socket 3647,14 nm,N/A,260,"Jun 20th, 2016"
Intel,Xeon E3-1280 v5,Skylake-S,4,8,"3,7",4,Socket 1151,14 nm,8,80,"Oct 19th, 2015"
Intel,Xeon E3-1285 v4,Broadwell-DT,4,8,"3,5","3,8",Socket 1150,14 nm,6,95,"Jun 2nd, 2015"
Intel,Xeon E7-4809 v3,Haswell-EX,8,16,2,,Socket 1150,22 nm,20,115,"Jun 1st, 2015"
Intel,Xeon E7-4820 v3,Haswell-EX,10,20,"1,9",,Socket 1150,22 nm,25,115,"Jun 1st, 2015"
Intel,Xeon E7-4830 v3,Haswell-EX,12,24,"2,1","2,7",Socket 1150,22 nm,30,115,"Jun 1st, 2015"
Intel,Xeon E7-4850 v3,Haswell-EX,14,28,"2,2","2,8",Socket 1150,22 nm,35,115,"Jun 1st, 2015"
Intel,Xeon E7-8860 v3,Haswell-EX,16,32,"2,2","3,2",Socket 1150,22 nm,40,140,"Jun 1st, 2015"
Intel,Xeon E7-8867 v3,Haswell-EX,16,32,"2,5","3,3",Socket 1150,22 nm,45,165,"Jun 1st, 2015"
Intel,Xeon E7-8870 v3,Haswell-EX,18,36,"2,1","2,9",Socket 1150,22 nm,45,140,"Jun 1st, 2015"
Intel,Xeon E7-8880 v3,Haswell-EX,18,36,"2,3","3,1",Socket 1150,22 nm,45,150,"Jun 1st, 2015"
Intel,Xeon E7-8880L v3,Haswell-EX,18,36,2,"2,8",Socket 1150,22 nm,45,115,"Jun 1st, 2015"
Intel,Xeon E7-8890 v3,Haswell-EX,18,36,"2,5","3,3",Socket 2011,22 nm,45,165,"Jun 1st, 2015"
Intel,Xeon E7-8891 v3,Haswell-EX,10,20,"2,8","3,5",Socket 1150,22 nm,45,165,"Jun 1st, 2015"
Intel,Xeon E7-8893 v3,Haswell-EX,4,8,"3,2","3,5",Socket 1150,22 nm,45,140,"Jun 1st, 2015"
Intel,Xeon Phi 7120A,Knights Corner,61,244,"1,238","1,333",PCIe x16,22 nm,N/A,300,"Apr 6th, 2014"
Intel,Xeon Phi 7120D,Knights Corner,61,244,"1,238","1,333",SFF 230-Pin,22 nm,N/A,270,"Mar 1st, 2014"
AMD,Opteron A1120,Seattle,4,4,"1,7",,Socket SP1,28 nm,8,25,"Jan 14th, 2016"
AMD,Opteron A1150,Seattle,8,8,"1,7",,Socket SP1,28 nm,8,32,"Jan 14th, 2016"
AMD,Opteron A1170,Seattle,8,8,2,,Socket SP1,28 nm,8,32,"Jan 14th, 2016"
AMD,Opteron X2170,Steppe Eagle,4,4,"2,4",,Socket FT3,28 nm,N/A,25,"Sep 1st, 2016"
ARM (AWS),Graviton,,16,16,"2,3",,,16 nm,,40,
Intel (AWS),Xeon E5-2686 v4,Broadwell-EP,18,36,"2,3",3,Socket 2011-3,14 nm,45,145,"Jun 1st, 2016"
Intel (AWS),Xeon E5-2676 v3,Haswell-EP,12,24,"2,4",,Socket 2011-3,22 nm,30,120,2015
Intel (AWS),Xeon Platinum 8259CL,Cascade Lake-SP,24,48,"2,5","3,5",Socket 3647,14 nm,"35,75",210,2019
AMD (AWS),EPYC 7571,Naples,32,64,"2,2",3,Socket SP3,14 nm,64,200,2018
Intel (AWS),Xeon Platinum 8175M,Skylake-SP,24,48,"2,5","3,5",Socket 3647,14 nm,33,240,2017
ARM (AWS),Graviton2,,64,64,"2,5",,,,,110,
Intel (AWS),Xeon E5-2666 v3,Haswell-EP,10,20,"2,9","3,2",Socket 2011-3,22 nm,25,135,2015
Intel (AWS),Xeon Platinum 8124M,Skylake-SP,18,36,3,"3,4",Socket 3647,14 nm,"24,75",240,2017
Intel (AWS),Xeon Platinum 8275CL,Cascade Lake-SP,24,48,3,"3,9",Socket 3647,14 nm,"35,75",240,2019
AMD (AWS),EPYC 7R32,Rome,48,96,"2,8","3,3",Socket SP3,7 nm,192,280,2020
Intel (AWS),Xeon Platinum 8176M,Skylake-SP,28,56,"2,1","3,8",Socket 3647,14 nm,"38,5",165,"Jul 11th, 2017"
Intel (AWS),Xeon Platinum 8151,Skylake-SP,12,24,"3,4",4,Socket 3647,14 nm,"24,8",240,2017
Intel (AWS),Xeon E5-2651 v2,Ivy Bridge-EP,12,24,"1,8",,Socket 2011,22 nm,30,95,2013
Intel (AWS),Xeon Platinum 8252C,Cascade Lake-SP,12,24,"3,8","4,5",Socket 3647,14 nm,26,240,2020
Intel,Xeon E5-1410,Sandy Bridge-EN,4,8,"2,8","3,2",Socket 1356,32,10,80,"May 14th, 2012"
Intel,Xeon E5-1428L,Sandy Bridge-EN,6,12,"1,8",,Socket 1356,32,15,60,"May 14th, 2012"
Intel,Xeon E5-1620,Sandy Bridge-E,4,8,"3,6","3,8",Socket 2011,32,10,130,"Mar 6th, 2012"
Intel,Xeon E5-1620 v2,Ivy Bridge-E,4,8,"3,7",,Socket 2011,22,10,130,"Sep 1st, 2013"
Intel,Xeon E5-1650,Sandy Bridge-E,6,12,"3,2","3,8",Socket 2011,32,12,130,"Mar 6th, 2012"
Intel,Xeon E5-1650 v2,Ivy Bridge-E,6,12,"3,5",,Socket 2011,22,12,130,"Sep 1st, 2013"
Intel,Xeon E5-1660,Sandy Bridge-E,6,12,"3,3","3,9",Socket 2011,32,15,130,"Mar 6th, 2012"
Intel,Xeon E5-1660 v2,Ivy Bridge-E,6,12,"3,7",,Socket 2011,22,15,130,"Sep 1st, 2013"
Intel,Xeon E5-2403,Sandy Bridge-EN,4,8,"1,8",,Socket 1356,32,10,80,"May 14th, 2012"
Intel,Xeon E5-2403 v2,Ivy Bridge-EN,4,4,"1,8",,Socket 1356,22,10,80,"Sep 1st, 2013"
Intel,Xeon E5-2407,Sandy Bridge-EN,4,8,"2,2",,Socket 1356,32,10,80,"May 14th, 2012"
Intel,Xeon E5-2407 v2,Ivy Bridge-EN,4,4,"2,4",,Socket 1356,22,10,80,"Sep 1st, 2013"
Intel,Xeon E5-2418L,Sandy Bridge-EN,4,8,2,"2,1",Socket 1356,32,10,50,"May 14th, 2012"
Intel,Xeon E5-2420,Sandy Bridge-EN,6,12,"1,9","2,4",Socket 1356,32,15,95,"May 14th, 2012"
Intel,Xeon E5-2420 v2,Ivy Bridge-EN,6,12,"2,2",,Socket 1356,22,15,80,"Sep 1st, 2013"
Intel,Xeon E5-2428L,Sandy Bridge-EN,6,12,"1,8",2,Socket 1356,32,15,60,"May 14th, 2012"
Intel,Xeon E5-2430,Sandy Bridge-EN,6,12,"2,2","2,7",Socket 1356,32,15,95,"May 14th, 2012"
Intel,Xeon E5-2430 v2,Ivy Bridge-EN,6,12,"2,5",,Socket 1356,22,15,80,"Sep 1st, 2013"
Intel,Xeon E5-2430L,Sandy Bridge-EN,6,12,2,"2,5",Socket 1356,32,15,60,"May 14th, 2012"
Intel,Xeon E5-2440,Sandy Bridge-EN,6,12,"2,4","2,9",Socket 1356,32,15,95,"May 14th, 2012"
Intel,Xeon E5-2440 v2,Ivy Bridge-EN,8,16,"1,9",,Socket 1356,22,20,95,"Sep 1st, 2013"
Intel,Xeon E5-2448L,Sandy Bridge-EN,8,16,"1,8","2,1",Socket 1356,32,20,70,"May 14th, 2012"
Intel,Xeon E5-2450,Sandy Bridge-EN,8,16,"2,1","2,9",Socket 1356,32,20,95,"May 14th, 2012"
Intel,Xeon E5-2450 v2,Ivy Bridge-EN,8,16,"2,5",,Socket 1356,22,20,95,"Sep 1st, 2013"
Intel,Xeon E5-2450L,Sandy Bridge-EN,8,16,"1,8","2,3",Socket 1356,32,20,70,"May 14th, 2012"
Intel,Xeon E5-2470,Sandy Bridge-EN,8,16,"2,3","3,1",Socket 1356,32,20,95,"May 14th, 2012"
Intel,Xeon E5-2470 v2,Ivy Bridge-EN,10,20,"2,4",,Socket 1356,22,25,95,"Sep 1st, 2013"
Intel,Xeon E5-2603,Sandy Bridge-EP,4,4,"1,8",,Socket 2011,32,10,80,"Mar 6th, 2012"
Intel,Xeon E5-2603 v2,Ivy Bridge-EP,4,4,"1,8",,Socket 2011,22,10,80,"Sep 1st, 2013"
Intel,Xeon E5-2609,Sandy Bridge-EP,4,4,"2,4",,Socket 2011,32,10,80,"Mar 6th, 2012"
Intel,Xeon E5-2609 v2,Ivy Bridge-EP,4,4,"2,5",,Socket 2011,22,10,80,"Sep 1st, 2013"
Intel,Xeon E5-2620,Sandy Bridge-EP,6,12,2,"2,5",Socket 2011,32,15,95,"Mar 6th, 2012"
Intel,Xeon E5-2620 v2,Ivy Bridge-EP,6,12,"2,1",,Socket 2011,22,15,80,"Sep 1st, 2013"
Intel,Xeon E5-2630,Sandy Bridge-EP,6,12,"2,3","2,8",Socket 2011,32,15,95,"Mar 6th, 2012"
Intel,Xeon E5-2630 v2,Ivy Bridge-EP,6,12,"2,6",,Socket 2011,22,15,80,"Sep 1st, 2013"
Intel,Xeon E5-2630L,Sandy Bridge-EP,6,12,2,"2,5",Socket 2011,32,15,60,"Mar 6th, 2012"
Intel,Xeon E5-2630L v2,Ivy Bridge-EP,6,12,"2,4",,Socket 2011,22,15,60,"Sep 1st, 2013"
Intel,Xeon E5-2637,Sandy Bridge-EP,2,4,3,"3,5",Socket 2011,32,5,80,"Mar 6th, 2012"
Intel,Xeon E5-2637 v2,Ivy Bridge-EP,4,8,"3,5",,Socket 2011,22,10,130,"Sep 1st, 2013"
